Date,Open,High,Low,Close,Adj Close,Volume
11/2/2018,68.748001,69.839996,68.181999,69.281998,69.281998,39040000
11/5/2018,68.099998,68.792000,66.028000,68.279999,68.279999,39155000
11/6/2018,67.814003,69.760002,67.218002,68.211998,68.211998,33814500
11/7/2018,68.667999,70.236000,68.160004,69.632004,69.632004,36872500
11/8/2018,69.699997,71.515999,69.688004,70.279999,70.279999,35453500
11/9/2018,69.800003,70.800003,69.045998,70.101997,70.101997,25494000
11/12/2018,69.674004,69.956001,66.068001,66.255997,66.255997,34707500
11/13/2018,66.632004,68.940002,66.440002,67.746002,67.746002,27243000
11/14/2018,68.540001,69.421997,67.430000,68.800003,68.800003,25201500
11/15/2018,68.466003,69.716003,67.807999,69.688004,69.688004,23128500
11/16/2018,69.038002,71.139999,69.024002,70.862000,70.862000,36031000
11/19/2018,71.267998,73.349998,70.575996,70.694000,70.694000,48544500
11/20/2018,68.349998,69.959999,66.709999,69.498001,69.498001,40023500
11/21/2018,70.400002,70.620003,67.480003,67.638000,67.638000,23434000
11/23/2018,66.870003,67.500000,65.110001,65.166000,65.166000,21013000
11/26/2018,65.000000,69.244003,65.000000,69.199997,69.199997,39960500
11/27/2018,68.010002,69.391998,67.099998,68.783997,68.783997,31791500
11/28/2018,69.197998,69.655998,68.442001,69.573997,69.573997,20638000
11/29/2018,69.400002,69.500000,67.910004,68.234001,68.234001,15403500
11/30/2018,68.365997,70.320000,67.652000,70.096001,70.096001,28145500
12/3/2018,72.000000,73.199997,70.400002,71.697998,71.697998,41532500
12/4/2018,71.209999,73.736000,70.400002,71.940002,71.940002,42309500
12/6/2018,71.202003,73.475998,70.152000,72.612000,72.612000,39212500
12/7/2018,73.800003,75.898003,71.529999,71.594002,71.594002,57556000
12/10/2018,72.000000,73.195999,70.624001,73.029999,73.029999,33067500
12/11/2018,73.982002,74.433998,72.045998,73.351997,73.351997,31544000
12/12/2018,73.884003,74.382004,73.031998,73.320000,73.320000,25135000
12/13/2018,74.029999,75.487999,73.349998,75.358002,75.358002,36829500
12/14/2018,75.000000,75.573997,72.865997,73.141998,73.141998,31688000
12/17/2018,72.400002,73.139999,68.776001,69.683998,69.683998,38370000
12/18/2018,70.108002,70.309998,66.737999,67.405998,67.405998,35500000
12/19/2018,67.519997,69.402000,65.947998,66.594002,66.594002,41371000
12/20/2018,65.410004,66.057999,62.374001,63.076000,63.076000,45359500
12/21/2018,63.480000,64.694000,62.487999,63.953999,63.953999,40084000
12/24/2018,62.700001,62.900002,59.040001,59.077999,59.077999,27799500
12/26/2018,60.000000,65.393997,58.818001,65.218002,65.218002,40815500
12/27/2018,63.967999,64.433998,60.299999,63.226002,63.226002,42875500
12/28/2018,64.620003,67.248001,63.681999,66.774002,66.774002,49695000
12/31/2018,67.557999,67.842003,65.052002,66.559998,66.559998,31511500
1/2/2019,61.220001,63.026001,59.759998,62.023998,62.023998,58293000
1/3/2019,61.400002,61.880001,59.476002,60.071999,60.071999,34826000
1/4/2019,61.200001,63.599998,60.546001,63.537998,63.537998,36970500
1/7/2019,64.344002,67.348000,63.549999,66.991997,66.991997,37756000
1/8/2019,68.391998,68.802002,65.403999,67.070000,67.070000,35042500
1/9/2019,67.099998,68.699997,66.293999,67.706001,67.706001,27164500
1/10/2019,66.879997,69.078003,66.358002,68.994003,68.994003,30282000
